,companyName,companyNumber,status,link
0,\ COMPANY LTD,5060411,Active,https://find-and-update.company-information.service.gov.uk/company/05060411
1,* LTD,5062633,Active,https://find-and-update.company-information.service.gov.uk/company/05062633
2,? LTD,5063820,Dissolved,https://find-and-update.company-information.service.gov.uk/company/05063820
3,*+ LTD,5153997,Active,https://find-and-update.company-information.service.gov.uk/company/05153997
4,.CO LTD,8013348,Active,https://find-and-update.company-information.service.gov.uk/company/08013348
5,@ LTD,8209882,Active,https://find-and-update.company-information.service.gov.uk/company/08209882
6,! LTD,8209948,Active,https://find-and-update.company-information.service.gov.uk/company/08209948
7,& ALCHEMY MARKETING COMMUNICATIONS LTD,8945953,Liquidation,https://find-and-update.company-information.service.gov.uk/company/08945953
8,&CREATE MARKETING LIMITED,9043448,Dissolved,https://find-and-update.company-information.service.gov.uk/company/09043448
9,#NAME?,10219186,Active,https://find-and-update.company-information.service.gov.uk/company/10219186
10,& ALCHEMY DIGITAL COMMUNICATIONS LIMITED,10381860,Dissolved,https://find-and-update.company-information.service.gov.uk/company/10381860
11,#NAME?,10449726,Dissolved,https://find-and-update.company-information.service.gov.uk/company/10449726
12,& JEWELLERY LTD,10693090,Dissolved,https://find-and-update.company-information.service.gov.uk/company/10693090
13,& STELLAR LTD,10763707,Dissolved,https://find-and-update.company-information.service.gov.uk/company/10763707
14,. LTD,11306057,Active,https://find-and-update.company-information.service.gov.uk/company/11306057
15,: LIMITED,11360247,Dissolved,https://find-and-update.company-information.service.gov.uk/company/11360247
16,;,11363219,Dissolved,https://find-and-update.company-information.service.gov.uk/company/11363219
17,", LIMITED",11387239,Dissolved,https://find-and-update.company-information.service.gov.uk/company/11387239
18,!? LTD,11399177,Active,https://find-and-update.company-information.service.gov.uk/company/11399177
19,/ LTD,11479550,Dissolved,https://find-and-update.company-information.service.gov.uk/company/11479550
20,{ LTD,11743635,Active,https://find-and-update.company-information.service.gov.uk/company/11743635
21,& COLLEY LTD,12016910,Dissolved,https://find-and-update.company-information.service.gov.uk/company/12016910
22,& SUYA RESTAURANT LIMITED,12030591,Active,https://find-and-update.company-information.service.gov.uk/company/12030591
23,:::: LTD,12153737,Active,https://find-and-update.company-information.service.gov.uk/company/12153737
24,& AYAH LTD,12191800,Dissolved,https://find-and-update.company-information.service.gov.uk/company/12191800
25,/ LTD,12289315,Active,https://find-and-update.company-information.service.gov.uk/company/12289315
26,// LTD,12382755,Active,https://find-and-update.company-information.service.gov.uk/company/12382755
27,&MORTAR CONSULTING LTD,12615666,Dissolved,https://find-and-update.company-information.service.gov.uk/company/12615666
28,@ LTD,12821321,Active,https://find-and-update.company-information.service.gov.uk/company/12821321
29,... LTD,12821336,Active,https://find-and-update.company-information.service.gov.uk/company/12821336
30,&TADESSE LTD,12832332,Dissolved,https://find-and-update.company-information.service.gov.uk/company/12832332
31,> LIMITED,12852967,Active,https://find-and-update.company-information.service.gov.uk/company/12852967
32,-. LTD,12870304,Active,https://find-and-update.company-information.service.gov.uk/company/12870304
33,.- LTD,12870308,Active,https://find-and-update.company-information.service.gov.uk/company/12870308
34,? LTD,13124568,Dissolved,https://find-and-update.company-information.service.gov.uk/company/13124568
35,& CLEAN LTD,13333846,Active,https://find-and-update.company-information.service.gov.uk/company/13333846
36,&BROAD LIMITED,13430540,Active,https://find-and-update.company-information.service.gov.uk/company/13430540
37,&PESTANA LIMITED,13453866,Active,https://find-and-update.company-information.service.gov.uk/company/13453866
38,A & P TOOLS AND PRODUCTS LIMITED,415532,Liquidation,https://find-and-update.company-information.service.gov.uk/company/00415532
39,A. & W. GODDARD LIMITED,550068,Active,https://find-and-update.company-information.service.gov.uk/company/00550068
0,A. & R. JOHN LIMITED,582855,Dissolved,https://find-and-update.company-information.service.gov.uk/company/00582855
1,A.&M.LEWIS INVESTMENTS LIMITED,672564,Dissolved,https://find-and-update.company-information.service.gov.uk/company/00672564
2,A.& H.FORMES LIMITED,1059755,Active,https://find-and-update.company-information.service.gov.uk/company/01059755
3,A.& J.SCOTT LIMITED,1087941,Active,https://find-and-update.company-information.service.gov.uk/company/01087941
4,A & S AERIALS LIMITED,1151661,Dissolved,https://find-and-update.company-information.service.gov.uk/company/01151661
5,A. & C. DUNKLEY (BOSCOMBE) LIMITED,1184368,Liquidation,https://find-and-update.company-information.service.gov.uk/company/01184368
6,A. & J. FABTECH LIMITED,1202760,Liquidation,https://find-and-update.company-information.service.gov.uk/company/01202760
7,A. & G. BARBER LIMITED,1366200,Dissolved,https://find-and-update.company-information.service.gov.uk/company/01366200
8,A. & N. PENNINGTON (MANCHESTER) LIMITED,1405058,Dissolved,https://find-and-update.company-information.service.gov.uk/company/01405058
9,A & P PHILP (TIMBER FRAME) LIMITED,1621664,Active,https://find-and-update.company-information.service.gov.uk/company/01621664
10,A & S DISPLAY LIMITED,1682911,Dissolved,https://find-and-update.company-information.service.gov.uk/company/01682911
11,A & H IMAGES LIMITED,1831837,Liquidation,https://find-and-update.company-information.service.gov.uk/company/01831837
12,A & R PROMOTIONS LIMITED,2038521,Active,https://find-and-update.company-information.service.gov.uk/company/02038521
13,A. & K. BUILDING AND CIVIL ENGINEERING LIMITED,2052874,Dissolved,https://find-and-update.company-information.service.gov.uk/company/02052874
14,A & L HARDWARE LTD,2079551,Dissolved,https://find-and-update.company-information.service.gov.uk/company/02079551
15,A & GP (GROUP) LIMITED,2131566,Liquidation,https://find-and-update.company-information.service.gov.uk/company/02131566
16,A. & A. KING LIMITED,2397511,Active,https://find-and-update.company-information.service.gov.uk/company/02397511
17,A & M  MINERALS AND METALS LIMITED,2427294,Liquidation,https://find-and-update.company-information.service.gov.uk/company/02427294
18,A & T PLASTERERS LIMITED,2503981,Dissolved,https://find-and-update.company-information.service.gov.uk/company/02503981
19,A & B FIRE EXTINGUISHER CO. LIMITED,2559441,Dissolved,https://find-and-update.company-information.service.gov.uk/company/02559441
